claim,label,language,output,final_answer,correct,inconclusive
Nigeria spends 7 times less in health care per capita than South Africa.,false,fr,Final Answer: Mostly True,mostly true,False,False
The blocking quarter has been removed from the Senegalese constitution.Since 2006 has not existed.,true,fr,Final Answer: True,true,True,False
"«As long as we were in government, we had an unemployment than two points lower than the European average, today they have an unemployment of two points higher than the European average.Youth unemployment is even dramatic, 32%;It means that 3 out of 10 young people don't have a job """,mostly true,it,Final Answer: Mostly True,mostly true,True,False
The commercial surplus of Germany violates European rules?,true,it,Final Answer: Mostly True,mostly true,False,False
"""Argentina has unconventional gas resources that the second one in the world ranking after China""",true,es,Final Answer: Mostly True,mostly true,False,False
"The ONE poverty group highlights 10 countries, including nine in Africa, where it is ""the most difficult"" for girls to have access to education.",half true,fr,Final Answer: Mostly True,mostly true,False,False
Sunday at the museum or at the stadium?,true,it,Final Answer: Half True,half true,False,False
"“In education we go from 25% of the total budget to 17%, 8 points.In health something similar happened, from 19% to 14% """,half true,es,Final Answer: Half True,half true,True,False
[There was] fall in child mortality,mostly true,pt,Final Answer: Mostly True,mostly true,True,False
"""[Italy is the] first country regarding the number of blue helmets, the eighth contributor to the world as regards the budget [of peace missions]""",mostly true,it,Final Answer: Mostly True,mostly true,True,False
"""Know that when we arrive at the government, the [light] rates, a part of the ballot was paid in dollars,""",true,es,Final Answer: False,false,False,False
The exchange of words of today between Carlos César and Fernando Negrão Sobr ......,mostly true,pt,Final Answer: False,false,False,False
"He [Soursop Leaf Tea] does not bring any side effects soon, you can use them as much as you want",false,pt,Final Answer: Mostly False,mostly false,False,False
"""Before 2011 we exported US $ 6,000 million fuels and then we began to import the same figure""",half true,es,Final Answer: Mostly False,mostly false,False,False
"""Argentina is already one of the countries with the highest poverty index in Latin America""",false,es,Final Answer: Mostly True,mostly true,False,False
With this law Italy is already today the country that gives more citizenships to foreign citizens throughout Europe,half true,it,Final Answer: Mostly True,mostly true,False,False
"""Today we have the same number of industrial workers as in the ‘90""",mostly true,es,Final Answer: Mostly False,mostly false,False,False
"The [São Paulo] budget for social assistance, you are talking $ 1.2 billion",mostly true,pt,Final Answer: Mostly True,mostly true,True,False
«The first president of the Council of History to cut the #stiPepende.Proud of @giuseppeConteit! ».,mostly true,it,Final Answer: False,false,False,False
I communicate to all the nomination of the exertion general Fernando Azevedo e Silva for the position of Minister of Defense,half true,pt,Final Answer: False,false,False,False
