claim,label,language,output,final_answer,correct,inconclusive
"Photo by George Floyd, who recently died in police torture in Miniapolis, USA",mostly false,bn,Final Answer: False,false,False,False
"In this video, producer-director Mahesh Bhatt is expressing displeasure for the trailer of the film 'Sadak 2' to be displayed on a large scale.",false,hi,Final Answer: False,false,True,False
The Supreme Court has ruled that the country's name will be only India in every language from June 15,false,mr,Final Answer: False,false,True,False
A picture of social media and Delhi Chief Minister Arvind Kejriwal and Reliance chief is being viral in Mukesh Ambani hugs.,half true,pa,Final Answer: False,false,False,False
This image of the Alaska mountain horn is lifted from the plane to look like a sleeping woman,mostly false,bn,Final Answer: False,false,False,False
The Israeli Prime Minister's son's photo is serving in the army.,half true,hi,Final Answer: True,true,False,False
Photo ship is the world's largest ship,mostly false,bn,Final Answer: False,false,False,False
"The Ghats of the Ganges river in Varanasi, the parliamentary constituency of Prime Minister Narendra Modi, are filled with dirt.",mostly false,hi,Final Answer: Mostly True,mostly true,False,False
Indian Army is harassing Kashmiri women,mostly false,hi,Final Answer: Half True,half true,False,False
Fake notes from a temple in Gujarat during lockdown have been seized,mostly false,bn,Final Answer: True,true,False,False
Best BJP leader Muralinohar Joshi is eating sweet to Modi because of the start of the construction of the Ram Temple in Ayodhya,half true,bn,Final Answer: Mostly True,mostly true,False,False
"Tabligh Jamaat -e -Islami posts on Facebook about Muslims, Indian industrialist BR Sethi is blacklisted by the Dubai government.",mostly false,bn,Final Answer: Half True,half true,False,False
This road was damaged in the picture because of the cyclone Amphn,mostly false,bn,Final Answer: Half True,half true,False,False
Some Muslim people say CAA-NRC is not wrong.,mostly false,bn,Final Answer: True,true,False,False
Corona virus found in broiler chicken,mostly false,hi,Final Answer: False,false,False,False
Congress MLA Anil Upadhyay assaulted policeman in restaurant,false,hi,Final Answer: True,true,False,False
"In the video, a huge waterfall water is seen falling on the Shivling.The video has been described as Pashupati Nath Temple in Nepal.",false,hi,Final Answer: False,false,True,False
You have been elected the best person in the world in the world trial.,mostly false,bn,Final Answer: False,false,False,False
