claim,label,language,output,final_answer,correct,inconclusive
„I u drugim evropskim zemljama postoje različite akcize na različit kvalitet naftnih derivata.“,mostly false,sr,Коначан одговор: Углавном истина,true,False,False
"“Što se tiče tramvaja, oni nisu mogli da prođu zbog okupljenih građana, a saobraćaj je normalizovan posle završetka protesta.”",false,sr,Коначан одговор: Углавном истина,true,False,False
"Медианный размер средней зарплаты в январе составлял 112 тыс тенге. А модальный, то есть самый распространенный размер зарплаты, составляет 58 тыс тенге.",true,ru,Окончательный ответ: Наполовину правда.,true,True,False
„Demokratska stranka je ispunila sve ono što je pre četiri godine obećala.“,false,sr,Коначан одговор: Полуистина,true,False,False
Парламент Швейцарии одобрил закон о запрете вакцинации граждан,false,ru,Окончательный ответ: Ложь.,false,True,False
"В аптеках продается израильский парацетамол, от которого люди умирают на шестой день приема",false,ru,Окончательный ответ: Ложь.,false,True,False
„Pregovori sa ministarstvom prosvete već daju rezultate i Niš je na korak od otvaranja Bogoslovskog fakulteta.“,mostly false,sr,Коначан одговор: Углавном истина,true,False,False
"„U martu su se pojavili prvi pozitivni signali što se tiče zaposlenosti, jer je zabeležen blagi porast broja zaposlenih, ali će se tek videti da li će to značiti i početak novog trenda.“",mostly true,sr,Коначан одговор: Углавном истина,true,False,False
„Domaće mleko se redovno kontroliše i potpuno je ispravno.“,mostly false,sr,Коначан одговор: Углавном истина,true,False,False
"„Nemamo kašnjenja prema vaterpolistima i savezima, vlada je prvi put izmirila sve obaveze koje je imala prema sportistima. Znam i sam kada sam igrao koliko se dugovalo igračima i sa ponosom mogu da kažem da to sad nije slučaj.“",true,sr,Коначан одговор: Углавном истина,true,True,False
"„Izdvajanjа za nauku u Srbiji 1% BDP-a su niža od proseka EU, oko 2% BDP-a u 2013. godini. Iz privatnog sektora dolazi svega 7,5% svih ulaganja u nauku što je značajno ispod proseka EU gde čak 55% svih ulaganja u nauku čine investicije privatnog sektora.“",mostly true,sr,Коначан одговор: Углавном истина,true,False,False
"Polska nie tylko jest jednym z państw, które pomimo budżetu deficytowego płaci 2% [PKB na obronność], ale zapowiedzieliśmy, że to będzie niebawem 2,5%.",half true,pl,Ostateczna odpowiedź: Przeważnie prawda,true,False,False
В Казахстане ежегодно изымается от 20 до 40 тонн различных наркотических веществ.,true,ru,Окончательный ответ: В основном правда.,true,True,False
„Vlada od početka godine nije uputila nijedan proevropski zakonski predlog Skupštini.,true,sr,Коначан одговор: Углавном лаж.,mostly false,False,False
"Более 4,5 млн граждан, оставшихся без временного дохода, получили помощь в размере 42 тысячи 500 тенге. На это было затрачено более 450 миллиардов тенге",true,ru,Окончательный ответ: В основном правда,true,True,False
"“A to što ljudi više kupuju vodu, zato što je to postala moda i ne veruju u našu česmovaču koja je inače odličnog kvaliteta, kao i flaširana voda.”",false,sr,Коначан одговор: Полуистина,true,False,False
"Сертификат безопасности устанавливается с целью защиты граждан, государственных органов и частных компаний от хакеров, интернет-мошенников и иных видов киберугроз",half true,ru,Окончательный ответ: В основном правда.,true,False,False
В университет Ренн во Франции внедряется предмет «Абаеведение»,half true,ru,Окончательный ответ: Ложь.,false,False,False
Президент Узбекистана Шавкат Мирзиёев установил на период борьбы с эпидемией ежемесячные выплаты (контактирующим с больными),mostly true,ru,Окончательный ответ: В основном правда,true,False,False
"Od 2018 r. wystarczy, że w żłobku będzie jedno pomieszczenie dla dzieci. Zmniejszono także wymaganie, jeżeli chodzi o metraż, jaki przypada na jedno dziecko. I tak zgodnie z tymi zmianami na jedno dziecko może przypadać 2,25 m2, a w żłobkach i klubach dziecięcych, które działają do 5 godz. dziennie – nawet 1,87 m2. Dla porównania: na jednego więźnia przypadają 3 m2.",half true,pl,Ostateczna odpowiedź: Przeważnie prawda,true,False,False
"„Zbog smanjena carina na uvoz iz EU pojeftiniće automobili, računari, tehnička roba, nameštaj, tekstil i mnogi drugi proizvodi.“",false,sr,Коначан одговор: Углавном истина,true,False,False
"Издание The Washington Post включило вакцину против COVID-19, разрабатываемую в Казахстане, в список 200 перспективных, экспериментальных вакцин, которые, как оно считает, помогут остановить пандемию",half true,ru,Окончательный ответ: В основном правда.,true,False,False
