claim,label,language,output,final_answer,correct,inconclusive
"""There are different excise dates in other European countries to different quality of petroleum products.""",mostly false,sr,Final Answer: Mostly True,mostly true,False,False
"""As for the tram, they could not pass because of the gathered citizens, and the traffic was normalized after the end of the protest.""",false,sr,Final Answer: Mostly True,mostly true,False,False
"The median size of the average salary in January was 112 thousand tenge.And the modal, that is, the most common salary, is 58 thousand tenge.",true,ru,Final Answer: Half True,half true,False,False
"""The Democratic Party filled everything that promised four years ago.""",false,sr,Final Answer: Mostly False,mostly false,False,False
Switzerland parliament approved the law banning the vaccination of citizens,false,ru,Final Answer: False,false,True,False
"The Israeli paracetamol is sold in pharmacies, from which people die on the sixth day of admission",false,ru,Final Answer: False,false,True,False
"""Negotiations with the Ministry of Education are already giving results and is a step of the opening of the Faculty of the Godology.""",mostly false,sr,Final Answer: Half True,half true,False,False
"""In March, the first positive signals appeared in terms of employment, because a slight increase in the number of employees was recorded, but it will only be seen whether it will mean the beginning of the new trend.""",mostly true,sr,Final Answer: Half True,half true,False,False
"""Homemade milk is regularly controlled and is completely right.""",mostly false,sr,Final Answer: Mostly False,mostly false,True,False
"""We have no delays to the water poloists and allows, the government first settled all the obligations she had according to the athletes.I know, and I played how long the players and pride I can say that this is not the case now. """,true,sr,Final Answer: Mostly False,mostly false,False,False
"""Allocations for science in Serbia 1% of GDP are lower than the EU average, about 2% of GDP in 2013.From the private sector, only 7.5% of all investments in science, which is significantly below the EU average where as many as 55% of all investments in science make private sector investments. """,mostly true,sr,Final Answer: Mostly True,mostly true,True,False
"Poland is not only one of the countries that, despite the deficit budget, pays 2% [GDP for defense], but we have announced that it will soon be 2.5%.",half true,pl,Final Answer: Mostly True,mostly true,False,False
"In Kazakhstan, from 20 to 40 tons of various narcotic substances is seized annually.",true,ru,Final Answer: Mostly True,mostly true,False,False
"""The government has not been sent by any pro-European legal proposal from the Assembly.",true,sr,Final Answer: False,false,False,False
More than 4.5 million citizens left without temporary income received assistance in the amount of 42 thousand 500 tenge.More than 450 billion tenge was spent on this,true,ru,Final Answer: Half True,half true,False,False
