claim,label,language,output,correct,inconclusive
"Photo by George Floyd, who recently died in police torture in Miniapolis, USA",mostly false,bn,"চূড়ান্ত উত্তর: মিথ্যা

George Floyd একজন ব্যক্তি ছিলেন যিনি ২০২০ সালে মিনিয়াপোলিস, মার্কিন যুক্তরাষ্ট্রে পুলিশ হেফাজতে মারা যান। তিনি একজন ফটোগ্রাফার ছিলেন না এবং তার মৃত্যুর সাথে সম্পর্কিত কোনো ছবি তার দ্বারা তোলা হয়নি। সুতরাং, উক্ত বক্তব্যটি মিথ্যা।",False,True
"In this video, producer-director Mahesh Bhatt is expressing displeasure for the trailer of the film 'Sadak 2' to be displayed on a large scale.",false,hi,अंतिम उत्तर: असत्य,False,True
The Supreme Court has ruled that the country's name will be only India in every language from June 15,false,mr,अंतिम उत्तर: असत्य,False,True
A picture of social media and Delhi Chief Minister Arvind Kejriwal and Reliance chief is being viral in Mukesh Ambani hugs.,half true,pa,ਅੰਤਿਮ ਜਵਾਬ: ਝੂਠ,False,True
This image of the Alaska mountain horn is lifted from the plane to look like a sleeping woman,mostly false,bn,চূড়ান্ত উত্তর: মিথ্যা,False,True
The Israeli Prime Minister's son's photo is serving in the army.,half true,hi,"इस कथन का मूल्यांकन करने के लिए हमें यह जानना होगा कि क्या वर्तमान में इजरायली प्रधानमंत्री का बेटा सेना में सेवा कर रहा है या नहीं। इजरायल में अनिवार्य सैन्य सेवा होती है, और अधिकांश नागरिकों को सेना में सेवा करनी होती है। 

हालांकि, यह जानकारी समय-समय पर बदल सकती है और वर्तमान स्थिति की पुष्टि के लिए नवीनतम स्रोतों की आवश्यकता होती है। 

यदि हम मान लें कि इजरायली प्रधानमंत्री का बेटा वर्तमान में सेना में सेवा कर रहा है, तो यह कथन सत्य होगा। अन्यथा, यह असत्य होगा।

अंतिम उत्तर: आधा सत्य",False,True
Photo ship is the world's largest ship,mostly false,bn,«চূড়ান্ত উত্তর: মিথ্যা»,False,True
"The Ghats of the Ganges river in Varanasi, the parliamentary constituency of Prime Minister Narendra Modi, are filled with dirt.",mostly false,hi,अंतिम उत्तर: अधिकांशतः असत्य,False,True
Indian Army is harassing Kashmiri women,mostly false,hi,"इस कथन का सत्यापन करना जटिल है क्योंकि यह एक संवेदनशील और विवादास्पद मुद्दा है। कश्मीर में भारतीय सेना की उपस्थिति और उनके कार्यों के बारे में विभिन्न दृष्टिकोण और रिपोर्ट्स हैं। कुछ रिपोर्ट्स और व्यक्तिगत गवाहियों के अनुसार, कश्मीर में मानवाधिकार उल्लंघन के आरोप लगाए गए हैं, जिनमें महिलाओं के साथ दुर्व्यवहार भी शामिल है। वहीं, भारतीय सेना और सरकार इन आरोपों को खारिज करती हैं और कहती हैं कि वे आतंकवाद से निपटने के लिए वहां मौजूद हैं और मानवाधिकारों का सम्मान करती हैं।

इसलिए, इस कथन को पूरी तरह से सत्य या असत्य कहना मुश्किल है और यह काफी हद तक इस पर निर्भर करता है कि आप किस स्रोत और दृष्टिकोण को मानते हैं।

अंतिम उत्तर: आधा सत्य",False,True
Fake notes from a temple in Gujarat during lockdown have been seized,mostly false,bn,চূড়ান্ত উত্তর: মিথ্যা,False,True
Best BJP leader Muralinohar Joshi is eating sweet to Modi because of the start of the construction of the Ram Temple in Ayodhya,half true,bn,"এই বক্তব্যটি যাচাই করার জন্য কিছু মূল তথ্য যাচাই করা প্রয়োজন। প্রথমত, মুরলিমনোহর জোশি একজন বিশিষ্ট বিজেপি নেতা এবং তিনি রাম মন্দির আন্দোলনের সাথে যুক্ত ছিলেন। দ্বিতীয়ত, রাম মন্দির নির্মাণের সূচনা একটি গুরুত্বপূর্ণ ঘটনা এবং এটি প্রধানমন্ত্রী নরেন্দ্র মোদির নেতৃত্বে ঘটেছে। তবে, মুরলিমনোহর জোশি মিষ্টি খাওয়ার ঘটনা বা এর প্রেক্ষাপট সম্পর্কে নির্দিষ্ট তথ্য পাওয়া যায়নি।

তথ্য যাচাইয়ের ভিত্তিতে, এই বক্তব্যটি সম্পূর্ণ সত্য বা সম্পূর্ণ মিথ্যা বলা কঠিন। এটি কিছুটা সত্য এবং কিছুটা অনুমান নির্ভর।

চূড়ান্ত উত্তর: অর্ধসত্য",False,True
"Tabligh Jamaat -e -Islami posts on Facebook about Muslims, Indian industrialist BR Sethi is blacklisted by the Dubai government.",mostly false,bn,"এই বক্তব্যটি যাচাই করার জন্য দুটি প্রধান দাবি রয়েছে: 

1. Tabligh Jamaat -e -Islami ফেসবুকে মুসলমানদের সম্পর্কে পোস্ট করে।
2. ভারতীয় শিল্পপতি BR Sethi দুবাই সরকারের দ্বারা কালো তালিকাভুক্ত হয়েছেন।

প্রথম দাবিটি সত্য হতে পারে কারণ Tabligh Jamaat একটি ইসলামী প্রচারমূলক সংগঠন এবং তারা ফেসবুক সহ বিভিন্ন প্ল্যাটফর্মে তাদের বার্তা প্রচার করতে পারে। তবে, এটি নির্দিষ্টভাবে যাচাই করা প্রয়োজন।

দ্বিতীয় দাবিটি যাচাই করা কঠিন কারণ BR Sethi সম্পর্কে নির্দিষ্ট তথ্য প্রয়োজন। BR Sethi, যিনি NMC Health এবং Finablr এর প্রতিষ্ঠাতা, আর্থিক সমস্যার কারণে সংবাদের শিরোনামে এসেছেন, কিন্তু তাকে দুবাই সরকারের দ্বারা কালো তালিকাভুক্ত করা হয়েছে কিনা তা নির্দিষ্টভাবে যাচাই করা প্রয়োজন।

এই দুটি দাবির মধ্যে একটি সত্য হতে পারে এবং অন্যটি যাচাই করা কঠিন। তাই, পুরো বক্তব্যটি «অর্ধসত্য» হিসাবে শ্রেণীবদ্ধ করা যেতে পারে।

চূড়ান্ত উত্তর: অর্ধসত্য",False,True
This road was damaged in the picture because of the cyclone Amphn,mostly false,bn,চূড়ান্ত উত্তর: অর্ধসত্য,False,True
Some Muslim people say CAA-NRC is not wrong.,mostly false,bn,"চূড়ান্ত উত্তর: অর্ধসত্য

ব্যাখ্যা: কিছু মুসলিম ব্যক্তি CAA-NRC (নাগরিকত্ব সংশোধন আইন এবং জাতীয় নাগরিক নিবন্ধন) সমর্থন করতে পারেন এবং তাদের দৃষ্টিকোণ থেকে এটি সঠিক মনে হতে পারে। তবে, এটি সমস্ত মুসলিম ব্যক্তির মতামতকে প্রতিফলিত করে না। অনেক মুসলিম ব্যক্তি এবং সংগঠন এই আইনগুলির বিরুদ্ধে প্রতিবাদ করেছে এবং তাদের বৈষম্যমূলক বলে মনে করেছে। সুতরাং, এই বক্তব্যটি কিছু ক্ষেত্রে সত্য হতে পারে, কিন্তু এটি সামগ্রিকভাবে সমস্ত মুসলিম ব্যক্তির মতামতকে প্রতিফলিত করে না।",False,True
Corona virus found in broiler chicken,mostly false,hi,"'Corona virus found in broiler chicken' यह कथन «असत्य» है। 

कोरोना वायरस मुख्यतः मनुष्यों और कुछ अन्य स्तनधारियों में पाया जाता है। अब तक की जानकारी के अनुसार, कोरोना वायरस का संक्रमण मुर्गियों में नहीं पाया गया है। 

अंतिम उत्तर: असत्य",False,True
