claim,label,language,translated_claim,output,final_answer,correct,inconclusive
ছবিটি সম্প্রতি আমেরিকার মিনিয়াপোলিসে পুলিশের অত্যাচারে মৃত্যু হওয়া জর্জ ফ্লয়েডের,mostly false,bn,"'The image is of George Floyd, who recently died due to police brutality in Minneapolis, America.'",Final Answer: True,true,False,False
इस वीडियो में निर्माता-निर्देशक महेश भट्ट फिल्म ‘सड़क 2’ के ट्रेलर को बड़े पैमाने पर डिस्लाइक किए जाने की वजह से नाराजगी जता रहे हैं.,false,hi,"In this video, producer-director Mahesh Bhatt is expressing his displeasure over the large-scale disliking of the trailer for the film 'Sadak 2'.",Final Answer: True,true,False,False
सर्वोच्च न्यायालयाने 15 जून पासून देशाचे नाव प्रत्येक भाषेत फक्त भारत असेल असा निर्णय दिला आहे,false,mr,"'The Supreme Court has ruled that from June 15, the name of the country will be only India in every language.'",Final Answer: False,false,True,False
ਸੋਸ਼ਲ ਮੀਡੀਆ ਤੇ ਦਿੱਲੀ ਦੇ ਮੁੱਖ ਮੰਤਰੀ ਅਰਵਿੰਦ ਕੇਜਰੀਵਾਲ ਅਤੇ ਰਿਲਾਇੰਸ ਦੇ ਮੁਖੀ ਮੁਕੇਸ਼ ਅੰਬਾਨੀ ਦੇ ਜੱਫੀ ਪਾਉਂਦਿਆਂ ਦੀ ਇਕ ਤਸਵੀਰ ਵਾਇਰਲ ਹੋ ਰਹੀ ਹੈ।,half true,pa,'A picture of Delhi Chief Minister Arvind Kejriwal and Reliance Chief Mukesh Ambani hugging each other is going viral on social media.',Final Answer: False,false,False,False
ঘুমন্ত নারীর মতন দেখতে আলাস্কা পর্বত শৃঙ্গের এই ছবিকে প্লেন থেকে তোলা হয়েছে,mostly false,bn,"This picture of the Alaska mountain peak, which looks like a sleeping woman, was taken from a plane.",Final Answer: Half True,half true,False,False
इजरायली प्रधानमंत्री के बेटे की फोटो जो कि सेना में सेवा दे रहे हैं.,half true,hi,'Photo of the Israeli Prime Minister's son who is serving in the military.',Final Answer: True,true,False,False
ছবির জাহাজটি বিশ্বের সব থেকে বড়ো জাহাজ,mostly false,bn,The ship in the picture is the largest ship in the world.,Final Answer: Half True,half true,False,False
प्रधानमंत्री नरेंद्र मोदी के संसदीय क्षेत्र वाराणसी में गंगा नदी के घाट गंदगी से भरे हैं.,mostly false,hi,"""The ghats of the Ganges River in Prime Minister Narendra Modi's parliamentary constituency of Varanasi are filled with dirt.""",Final Answer: Mostly True,mostly true,False,False
भारतीय सेना कश्मीरी महिलाओं का उत्पीड़न कर रही है,mostly false,hi,The Indian Army is oppressing Kashmiri women.,Final Answer: Half True,half true,False,False
লকডাউনের সময় গুজরাটের একটি মন্দির থেকে জাল নোট বাজেয়াপ্ত করা হয়েছে,mostly false,bn,"'During the lockdown, counterfeit notes were seized from a temple in Gujarat.'",Final Answer: True,true,False,False
অযোধ্যায় রাম মন্দির নির্মাণ শুরু হতে যাওয়ার কারণে বর্ষীয়ান বিজেপি নেতা মুরলীমনোহর জোশি মোদীকে মিষ্টি খাওয়াচ্ছেন,half true,bn,"'Due to the commencement of the construction of the Ram temple in Ayodhya, veteran BJP leader Murli Manohar Joshi is feeding sweets to Modi.'",Final Answer: False,false,False,False
তাবলীগ জামাত মুসলিমদের সম্বন্ধে ফেসবুকে আপত্তিকর পোস্ট করায় ভারতীয় শিল্পপতি বি আর শেঠীকে কালো তালিকাভুক্ত করছে দুবাই সরকার,mostly false,bn,'The Dubai government is blacklisting Indian businessman B R Shetty for posting objectionable content about Muslims on Facebook.',Final Answer: False,false,False,False
ঘূর্ণিঝড় আমফানের কারণে ছবিতে দেখতে পাওয়া এই রাস্তাটি ক্ষতিগ্রস্ত,mostly false,bn,'The road seen in the picture has been damaged due to Cyclone Amphan.',Final Answer: Half True,half true,False,False
কিছু মুসলিম মানুষ বলছেনসিএএ-এনআরসি ভুল নয়।,mostly false,bn,'Some Muslim people are saying that the CAA-NRC is not wrong.',Final Answer: Half True,half true,False,False
ब्रायलर मुर्गी में पाया गया कोरोना वायरस,mostly false,hi,'Coronavirus found in broiler chickens.',Final Answer: Mostly True,mostly true,False,False
कांग्रेस विधायक अनिल उपाध्याय ने रेस्टोरेंट में पुलिसकर्मी से की मारपीट,false,hi,'Congress MLA Anil Upadhyay assaulted a police officer in a restaurant.',Final Answer: False,false,True,False
वीडियो में एक विशाल झरने का पानी शिवलिंग पर गिरता हुआ दिख रहा है. वीडियो को नेपाल स्थित पशुपति नाथ मंदिर का बताया गया है.,false,hi,'The video shows water from a massive waterfall falling on a Shiva Lingam. The video is said to be from the Pashupatinath Temple located in Nepal.',Final Answer: Mostly True,mostly true,False,False
ইউ গভের বিচারে বিশ্বের সবথেকে সেরা ব্যক্তি নির্বাচিত হয়েছেন।,mostly false,bn,"""According to the UN, the best person in the world has been elected.""",Final Answer: False,false,False,False
ਸੋਸ਼ਲ ਮੀਡੀਆ ਤੇ ਇਕ ਵੀਡੀਓ ਵਾਇਰਲ ਹੋ ਰਹੀ ਹੈ ਜਿਸ ਵਿੱਚ ਦਾਅਵਾ ਕੀਤਾ ਜਾ ਰਿਹਾ ਹੈ ਕਿ ਇੱਕ ਮ੍ਰਿਤਕ ਸ਼ਖਸ ਅੰਤਿਮ ਸੰਸਕਾਰ ਤੋਂ ਪਹਿਲਾਂ ਜਿਉਂਦਾ ਹੋ ਗਿਆ।,half true,pa,'A video is going viral on social media claiming that a deceased person came back to life before the final rites.',Final Answer: False,false,False,False
मध्य प्रदेश में हिंदू लड़की को चर्च में प्रेयर मीट में हिस्सा लेने पर जिंदा जलाया.,mostly false,hi,'A Hindu girl was burned alive in Madhya Pradesh for participating in a prayer meeting at a church.',Final Answer: False,false,False,False
"ব্যাঙ্গালোরের মসজিদ প্রধানমন্ত্রী নরেন্দ্র মোদীর নামে নামকরণ করা হলো,",mostly false,bn,'The mosque in Bangalore has been named after Prime Minister Narendra Modi.',Final Answer: False,false,False,False
आईएएस की परीक्षा पास करने वाली 24 वर्षीय मुस्लिम लड़की की तस्वीर.,mostly false,hi,'A 24-year-old Muslim girl who passed the IAS exam.',Final Answer: True,true,False,False
ਦਾਅਵਾ ਕੀਤਾ ਜਾ ਰਿਹਾ ਹੈ ਕਿ ਤਸਵੀਰ ਵਿੱਚ ਦਿਖਾਈ ਦੇ ਰਹੀ ਕੁੜੀ ਨੂੰ ਵਰ ਦੀ ਲੋੜ ਹੈ ਜੋ ਕਨਾਡਾ ਜਾਣ ਦਾ ਖਰਚਾ ਚੁੱਕ ਸਕੇ।,false,pa,It is being claimed that the girl shown in the picture needs a sponsor who can cover the expenses for going to Canada.,Final Answer: Half True,half true,False,False
अमेरिका की एक महिला ने एक साथ 17 हमशक्ल लड़कों को जन्म दिया है.,false,hi,A woman in America has given birth to 17 identical boys at once.,Final Answer: False,false,True,False
ਸੋਸ਼ਲ ਮੀਡੀਆ ਤੇ ਸਾਬਕਾ ਭਾਰਤੀ ਕ੍ਰਿਕਟਰ ਕਪਿਲ ਦੇਵ ਨੂੰ ਲੈ ਕੇ ਦਾਅਵਾ ਕੀਤਾ ਜਾ ਰਿਹਾ ਹੈ ਕਿ ਸਾਬਕਾ ਭਾਰਤੀ ਕ੍ਰਿਕਟਰ ਦਾ ਦਿਹਾਂਤ ਹੋ ਗਿਆ ਹੈ।,half true,pa,"""It is being claimed on social media that former Indian cricketer Kapil Dev has passed away.""",Final Answer: False,false,False,False
প্রধানমন্ত্রী নরেন্দ্র মোদি শিল্পপতি 'আদানির স্ত্রী' কে নতমস্তক প্রণামকরছেন।,mostly false,bn,'Prime Minister Narendra Modi is bowing down to the industrialist 'Adani's wife'.',Final Answer: False,false,False,False
रतन टाटांनी 18 वर्षीय तरुणाच्या जेनेरिक फार्मसी स्टार्ट-अपमध्ये 50 टक्के भागीदारी खरेदी केली.,false,mr,Ratan Tata purchased a 50% stake in an 18-year-old's generic pharmacy start-up.,Final Answer: False,false,True,False
ભારતીય સેનાએ ગલવાન નદી પરનો પુલ બનાવી લીધો જેને ચીન રોકવા માંગતું હતું,half true,gu,"'The Indian Army has built a bridge over the Galwan River, which China wanted to stop.'",Final Answer: Mostly True,mostly true,False,False
"ছবিতে দেখা যাচ্ছে, রাশিয়ার রাষ্ট্রপতি ভ্লাদিমির পুতিন তার কার্যালয়ে ভারতের ডাঃ ভীমরাও আম্বেদকরের এক প্রতিকৃতি লাগিয়েছেন",false,bn,'The picture shows that Russian President Vladimir Putin has hung a portrait of Dr. Bhimrao Ambedkar of India in his office.',Final Answer: False,false,True,False
1000 કામ સાઇડ મા મૂકી ને આ ઓડિયો ક્લિપ ને તમારા માટે અને તમારા પરિવાર ની ભલાઈ માટે સાંભળો,false,gu,"""Put 1000 tasks aside and listen to this audio clip for your and your family's well-being.""",Final Answer: Mostly False,mostly false,False,False
এই ভিডিওতে পশ্চিমবঙ্গ পুলিশকে বিক্ষোভকারীদের উপর বোমা মারতে দেখা যায়,half true,bn,"'In this video, the West Bengal police can be seen bombing the protesters.'",Final Answer: False,false,False,False
টাটা মোটরসের আনা ইভিশন নামের বৈদ্যুতিক গাড়িটি এক বার চার্জ দিলে ১০০০ কিমি অবধি যেতে পারে ও এর ব্যাটারিতে ১০ বছরের ওয়ারেন্টি আছে,mostly false,bn,"The electric car named Evision brought by Tata Motors can travel up to 1000 km on a single charge, and its battery comes with a 10-year warranty.",Final Answer: False,false,False,False
આ વીડિયોમાં એવું સ્પષ્ટ પણે દેખાઈ આવે છે….કે અમેરિકાના રાષ્ટ્રપતિ ડોનાલ્ડ ટ્રમ્પના પત્ની અમેરિકાના પૂર્વ રાષ્ટ્રપતિ ઓબામાને ગિફ્ટ આપે છે…જે ગિફ્ટ ઓબામા સ્વીકારવા ખાતર સ્વીકારી લે છે….અને પછી થોડાક આગળ જઈને એ ગિફ્ટને તેઓ ફેંકી દે છે….અને ત્યાંથી ચાલ્યા જાય છે,half true,gu,"""This video clearly shows that the wife of American President Donald Trump gives a gift to former President Obama, which Obama accepts. Then, after a while, he throws the gift away and walks off.""",Final Answer: False,false,False,False
"ਸੁਖਬੀਰ ਬਾਦਲ ਵਲੋਂ ਰਾਮ ਰਹੀਮ ਨੂੰ ਪੁਸ਼ਾਕ ਭੇਟ ਕਰਨਾ ਪੰਜਾਬ ਦੇ ਭਲੇ ਲਈ ਚੁਕਿਆ ਗਿਆ ਇੱਕ ਕਦਮ ਸੀ : ਪ੍ਰੇਮ ਸਿੰਘ ਚੰਦੂਮਾਜਰਾ , ਸਾਬਕਾ ਸੰਸਦ ਮੈਂਬਰ",false,pa,"""The act of Sukhbir Badal presenting a robe to Ram Rahim was a step taken for the welfare of Punjab: Prem Singh Chandumajra, former Member of Parliament.""",Final Answer: Half True,half true,False,False
ફ્રાન્સના પ્રખ્યાત ફૂટબોલર પોલ પોગ્બા ઇસ્લામ અંગે ફ્રેન્ચ રાષ્ટ્રપતિના નિવેદનના વિરોધમાં ફૂટબોલ રમતથી નિવૃત્ત થયા છે.,false,gu,'Famous French footballer Paul Pogba has retired from football in protest against the French president's statement regarding Islam.',Final Answer: False,false,True,False
ভাইরাল ছবিটি দিল্লি পুলিশের সাম্প্রতিককালের,half true,bn,'The viral photo is from the recent times of the Delhi police.',Final Answer: Half True,half true,True,False
जो मुसलमान को गद्दार कहता है वह जरा देख ले भक्तों का बाप का नाम लिखा हुआ है,false,gu,"""Whoever calls a Muslim a traitor should take a look at the name of the father of the devotees written down.""",Final Answer: False,false,True,False
২০১৮ সালে তোলা এই ছবিতে ভারতবর্ষে বাণিজ্য করার উদ্দেশ্যে আগমন করা ইস্ট ইন্ডিয়া কোম্পানির জাহাজকে দেখতে পাওয়া যায়,mostly false,bn,'This photo taken in 2018 shows a ship of the East India Company that arrived in India for the purpose of trade.',Final Answer: False,false,False,False
झारखंड में नफ़ीस नाम के एक लड़के ने अपनी हिंदू प्रेमिका पर कैंची से ताबड़तोड़ वार किए.,half true,hi,"'In Jharkhand, a boy named Nafees attacked his Hindu girlfriend with scissors.'",Final Answer: False,false,False,False
"जलते ट्रक की ये तस्वीर 11 अगस्त को बेंगलुरु में हुए दंगे की है, जब भीड़ ने आगजनी की",half true,hi,"'This picture of a burning truck is from the riots that took place in Bengaluru on August 11, when the crowd set fire.'",Final Answer: False,false,False,False
ছবিতে দেখা যাচ্ছে সিপিআই-এম নেতা সীতারাম ইয়েচুরি ও বৃন্দা কারাট চীনকে সমর্থন করে গলায় প্ল্যাকার্ড ঝুলিয়েছেন,false,bn,'The image shows CPI-M leaders Sitaram Yechury and Brinda Karat hanging placards in support of China.',Final Answer: False,false,True,False
মুসলিমদের দলবেঁধে নামাজ পড়ার ছবিটি ভারতের,half true,bn,'The image of Muslims praying in a group is from India.',Final Answer: Half True,half true,True,False
लिफ्टमध्ये महिलेला मारहाणीचा व्हिडिओ दिल्ली मेट्रोचा,half true,mr,'Video of a woman being assaulted in the lift of Delhi Metro.',Final Answer: True,true,False,False
জর্জ ফ্লয়েডের মৃত্যুর প্রতিবাদে মার্কিন যুক্তরাষ্ট্রের বিক্ষোভকারীরা হোয়াইট হাউসে ঢুকে পড়ে,half true,bn,"""Protesters in the United States stormed the White House in response to the death of George Floyd.""",Final Answer: False,false,False,False
ছবিটি বারাণসীতে কানহাইয়া কুমারের একটি জনসভার।,false,bn,'The picture is from a public meeting of Kanhaiya Kumar in Varanasi.',Final Answer: False,false,True,False
"ভিডিওটি শাহীনবাগের, মহিলাদের অবস্থান বিক্ষোভের।",mostly false,bn,"'The video is from Shaheen Bagh, of the women's sit-in protest.'",Final Answer: True,true,False,False
तस्वीर में दिख रहे इटली के डॉक्टर दंपति ने कोरोना मरीजों के इलाज करते हुए अपनी जान दे दी.,mostly false,hi,'The Italian doctor couple shown in the picture sacrificed their lives while treating COVID-19 patients.',Final Answer: True,true,False,False
दिल्ली की एक खस्ताहाल सड़क का वीडियो जिसमें दो महिलाओं को गटर में गिरते हुए देखा जा सकता है.,mostly false,hi,'A video of a dilapidated road in Delhi in which two women can be seen falling into a gutter.',Final Answer: True,true,False,False
साध्वी प्रज्ञा को कोर्ट ने आतंकवाद के आरोपों से बरी कर दिया है,mostly false,hi,'The court has acquitted Sadhvi Pragya of the charges of terrorism.',Final Answer: True,true,False,False
सुषमा स्वराज ने कहा कि बालाकोट एयरस्ट्राइक में एक भी आदमी नहीं मरा,mostly false,hi,Sushma Swaraj said that not a single person died in the Balakot airstrike.,Final Answer: False,false,False,False
"ছবিতে দেখা যাচ্ছে, দিল্লি দাঙ্গার মাষ্টারমাইন্ড কপিল মিশ্রার বোন মোল্লা শাহজাদ আলীর নামক একজনকে প্রেম করে বিয়ে করলেন",mostly false,bn,"'The picture shows that Kapil Mishra's sister fell in love and married someone named Molla Shahzad Ali, the mastermind of the Delhi riots.'",Final Answer: False,false,False,False
জাপানী নিউরোলজিস্টের তৈরি করা এই ছবি মানসিক চাপের বিষয়ে জানতে সহায়তা করে,mostly false,bn,'This image created by a Japanese neurologist helps to understand mental stress.',Final Answer: Half True,half true,False,False
