claim,label,language,output,final_answer,correct,inconclusive
ছবিটি সম্প্রতি আমেরিকার মিনিয়াপোলিসে পুলিশের অত্যাচারে মৃত্যু হওয়া জর্জ ফ্লয়েডের,mostly false,bn,চূড়ান্ত উত্তর: সত্য,,False,True
इस वीडियो में निर्माता-निर्देशक महेश भट्ट फिल्म ‘सड़क 2’ के ट्रेलर को बड़े पैमाने पर डिस्लाइक किए जाने की वजह से नाराजगी जता रहे हैं.,false,hi,अंतिम उत्तर: सत्य,,False,True
सर्वोच्च न्यायालयाने 15 जून पासून देशाचे नाव प्रत्येक भाषेत फक्त भारत असेल असा निर्णय दिला आहे,false,mr,अंतिम उत्तर: असत्य,,False,True
ਸੋਸ਼ਲ ਮੀਡੀਆ ਤੇ ਦਿੱਲੀ ਦੇ ਮੁੱਖ ਮੰਤਰੀ ਅਰਵਿੰਦ ਕੇਜਰੀਵਾਲ ਅਤੇ ਰਿਲਾਇੰਸ ਦੇ ਮੁਖੀ ਮੁਕੇਸ਼ ਅੰਬਾਨੀ ਦੇ ਜੱਫੀ ਪਾਉਂਦਿਆਂ ਦੀ ਇਕ ਤਸਵੀਰ ਵਾਇਰਲ ਹੋ ਰਹੀ ਹੈ।,half true,pa,ਅੰਤਿਮ ਜਵਾਬ: ਝੂਠ,,False,True
ঘুমন্ত নারীর মতন দেখতে আলাস্কা পর্বত শৃঙ্গের এই ছবিকে প্লেন থেকে তোলা হয়েছে,mostly false,bn,চূড়ান্ত উত্তর: সত্য,,False,True
इजरायली प्रधानमंत्री के बेटे की फोटो जो कि सेना में सेवा दे रहे हैं.,half true,hi,अंतिम उत्तर: सत्य,,False,True
ছবির জাহাজটি বিশ্বের সব থেকে বড়ো জাহাজ,mostly false,bn,চূড়ান্ত উত্তর: মিথ্যা,,False,True
प्रधानमंत्री नरेंद्र मोदी के संसदीय क्षेत्र वाराणसी में गंगा नदी के घाट गंदगी से भरे हैं.,mostly false,hi,अंतिम उत्तर: सत्य,,False,True
भारतीय सेना कश्मीरी महिलाओं का उत्पीड़न कर रही है,mostly false,hi,अंतिम उत्तर: असत्य,,False,True
লকডাউনের সময় গুজরাটের একটি মন্দির থেকে জাল নোট বাজেয়াপ্ত করা হয়েছে,mostly false,bn,চূড়ান্ত উত্তর: সত্য,,False,True
অযোধ্যায় রাম মন্দির নির্মাণ শুরু হতে যাওয়ার কারণে বর্ষীয়ান বিজেপি নেতা মুরলীমনোহর জোশি মোদীকে মিষ্টি খাওয়াচ্ছেন,half true,bn,চূড়ান্ত উত্তর: সত্য,,False,True
তাবলীগ জামাত মুসলিমদের সম্বন্ধে ফেসবুকে আপত্তিকর পোস্ট করায় ভারতীয় শিল্পপতি বি আর শেঠীকে কালো তালিকাভুক্ত করছে দুবাই সরকার,mostly false,bn,চূড়ান্ত উত্তর: সত্য,,False,True
ঘূর্ণিঝড় আমফানের কারণে ছবিতে দেখতে পাওয়া এই রাস্তাটি ক্ষতিগ্রস্ত,mostly false,bn,চূড়ান্ত উত্তর: সত্য।,,False,True
কিছু মুসলিম মানুষ বলছেনসিএএ-এনআরসি ভুল নয়।,mostly false,bn,চূড়ান্ত উত্তর: সত্য।,,False,True
ब्रायलर मुर्गी में पाया गया कोरोना वायरस,mostly false,hi,अंतिम उत्तर: असत्य,,False,True
कांग्रेस विधायक अनिल उपाध्याय ने रेस्टोरेंट में पुलिसकर्मी से की मारपीट,false,hi,अंतिम उत्तर: असत्य,,False,True
