claim,label,language,output,final_answer,correct,inconclusive
Part of the state budget spent did not affect the depreciation of the GEL,mostly false,ka,Final Answer: Mostly True,mostly true,False,False
"25,000 invalid ballots were not recorded in Adjara",false,ka,Final Answer: False,false,True,False
"Against Rustavi 2 we saw illegal, coordinated actions of two branches - court and public ...",true,ka,Final Answer: Mostly True,mostly true,False,False
"“During court disputes, when the business and the state dispute each other, 99% of the state of state ...",mostly false,ka,Final Answer: Mostly True,mostly true,False,False
"In Kutaisi, the least in the percentage, the least people are running in the elections",true,ka,Final Answer: False,false,False,False
Until 2021 for political officials limited salaries,mostly false,ka,Final Answer: False,false,False,False
“The Ministry of Education has been holding the elections of directors for 2 years.80%of schools of the schools are one ...,mostly true,ka,Final Answer: Half True,half true,False,False
"In 2004-2012, the GDP of the agrarian sector was decreasing at constant prices, with an average of 1.2%, during our period ...",half true,ka,Final Answer: Half True,half true,True,False
"Teachers were promising to raise salaries and only 250 out of about 60,000 teachers increased the tree ...",half true,ka,Final Answer: False,false,False,False
"“The number of employees was reduced from 525 thousand to 480 thousand, from October to April ...",false,ka,Final Answer: Half True,half true,False,False
The Ministry of Infrastructure is unable to absorb 50%of the budget.Unalcuted in a high -speed car ...,mostly true,ka,Final Answer: Half True,half true,False,False
We have significant progress in agriculture,false,ka,Final Answer: Mostly True,mostly true,False,False
"""Studies show that for the first time in these years the confidence in the police has fallen.""",half true,ka,Final Answer: Half True,half true,True,False
"In order to mitigate foreign shocks, the government has reduced the 2014 budget deficit",mostly false,ka,Final Answer: False,false,False,False
"Everyone [alien] can buy land plots, without any restriction",mostly false,ka,Final Answer: False,false,False,False
"Today, according to the states specified in the state budget, 11 thousand more officials serve ...",half true,ka,Final Answer: Half True,half true,True,False
"“As a result of competitions in public sector until January 2014, 85%of public servants service ...",mostly false,ka,Final Answer: False,false,False,False
"""You have been convicted of 300,000 people in 9 years""",false,ka,Final Answer: False,false,True,False
"Sagarejo has been in the city for 5 years, but there is no water ... People have been watching since 2015 ...",mostly true,ka,Final Answer: Mostly True,mostly true,True,False
"37% was approximately state debt and today is 44%, with a major role in the exchange role in that",mostly false,ka,Final Answer: Half True,half true,False,False
