claim,label,language,output,final_answer,correct,inconclusive
ছবিটি সম্প্রতি আমেরিকার মিনিয়াপোলিসে পুলিশের অত্যাচারে মৃত্যু হওয়া জর্জ ফ্লয়েডের,mostly false,bn,চূড়ান্ত উত্তর: সত্য,,False,True
इस वीडियो में निर्माता-निर्देशक महेश भट्ट फिल्म ‘सड़क 2’ के ट्रेलर को बड़े पैमाने पर डिस्लाइक किए जाने की वजह से नाराजगी जता रहे हैं.,false,hi,"महेश भट्ट की फिल्म 'सड़क 2' का ट्रेलर यूट्यूब पर बड़े पैमाने पर डिस्लाइक किया गया था, और यह घटना काफी चर्चा में रही थी। हालांकि, महेश भट्ट की नाराजगी के बारे में कोई स्पष्ट प्रमाण नहीं है कि उन्होंने इस पर सार्वजनिक रूप से नाराजगी जताई हो। इसलिए, यह कथन पूरी तरह से सत्य नहीं है।

अंतिम उत्तर: असत्य",,False,True
सर्वोच्च न्यायालयाने 15 जून पासून देशाचे नाव प्रत्येक भाषेत फक्त भारत असेल असा निर्णय दिला आहे,false,mr,अंतिम उत्तर: असत्य,,False,True
ਸੋਸ਼ਲ ਮੀਡੀਆ ਤੇ ਦਿੱਲੀ ਦੇ ਮੁੱਖ ਮੰਤਰੀ ਅਰਵਿੰਦ ਕੇਜਰੀਵਾਲ ਅਤੇ ਰਿਲਾਇੰਸ ਦੇ ਮੁਖੀ ਮੁਕੇਸ਼ ਅੰਬਾਨੀ ਦੇ ਜੱਫੀ ਪਾਉਂਦਿਆਂ ਦੀ ਇਕ ਤਸਵੀਰ ਵਾਇਰਲ ਹੋ ਰਹੀ ਹੈ।,half true,pa,ਅੰਤਿਮ ਜਵਾਬ: ਝੂਠ,,False,True
ঘুমন্ত নারীর মতন দেখতে আলাস্কা পর্বত শৃঙ্গের এই ছবিকে প্লেন থেকে তোলা হয়েছে,mostly false,bn,চূড়ান্ত উত্তর: অর্ধসত্য,,False,True
इजरायली प्रधानमंत्री के बेटे की फोटो जो कि सेना में सेवा दे रहे हैं.,half true,hi,"इजरायली प्रधानमंत्री के बेटे की फोटो जो कि सेना में सेवा दे रहे हैं, यह कथन सत्य हो सकता है, क्योंकि इजरायल में अनिवार्य सैन्य सेवा होती है और कई इजरायली नेताओं के बच्चे सेना में सेवा करते हैं। हालांकि, यह कथन किसी विशेष समय और व्यक्ति पर निर्भर करता है। उदाहरण के लिए, वर्तमान प्रधानमंत्री बेंजामिन नेतन्याहू के बेटे यायर नेतन्याहू ने पहले इजरायली सेना में सेवा की थी। 

अंतिम उत्तर: अधिकांशतः सत्य",,False,True
ছবির জাহাজটি বিশ্বের সব থেকে বড়ো জাহাজ,mostly false,bn,চূড়ান্ত উত্তর: মিথ্যা,,False,True
प्रधानमंत्री नरेंद्र मोदी के संसदीय क्षेत्र वाराणसी में गंगा नदी के घाट गंदगी से भरे हैं.,mostly false,hi,"इस कथन का मूल्यांकन करने के लिए हमें यह देखना होगा कि वाराणसी के गंगा घाटों की वर्तमान स्थिति क्या है। प्रधानमंत्री नरेंद्र मोदी के नेतृत्व में स्वच्छता और गंगा सफाई के लिए कई योजनाएं चलाई गई हैं, जैसे कि 'नमामि गंगे' परियोजना। इसके बावजूद, यह संभव है कि कुछ घाटों पर गंदगी हो सकती है, लेकिन यह कहना कि सभी घाट गंदगी से भरे हैं, एक अतिशयोक्ति हो सकती है।

इसलिए, यह कथन पूरी तरह से सत्य नहीं है, लेकिन इसमें कुछ सच्चाई हो सकती है।

अंतिम उत्तर: «आधा सत्य»",,False,True
भारतीय सेना कश्मीरी महिलाओं का उत्पीड़न कर रही है,mostly false,hi,अंतिम उत्तर: असत्य,,False,True
লকডাউনের সময় গুজরাটের একটি মন্দির থেকে জাল নোট বাজেয়াপ্ত করা হয়েছে,mostly false,bn,"আমি দুঃখিত, কিন্তু আমি এই নির্দিষ্ট দাবির সত্যতা যাচাই করার জন্য পর্যাপ্ত তথ্য খুঁজে পাচ্ছি না। তবে, আমি আপনাকে পরামর্শ দিতে পারি যে আপনি নির্ভরযোগ্য সংবাদ সূত্র বা ফ্যাক্ট-চেকিং ওয়েবসাইটগুলি পরীক্ষা করে দেখতে পারেন। 

চূড়ান্ত উত্তর: «অপর্যাপ্ত তথ্য»",,False,True
অযোধ্যায় রাম মন্দির নির্মাণ শুরু হতে যাওয়ার কারণে বর্ষীয়ান বিজেপি নেতা মুরলীমনোহর জোশি মোদীকে মিষ্টি খাওয়াচ্ছেন,half true,bn,চূড়ান্ত উত্তর: মিথ্যা,,False,True
তাবলীগ জামাত মুসলিমদের সম্বন্ধে ফেসবুকে আপত্তিকর পোস্ট করায় ভারতীয় শিল্পপতি বি আর শেঠীকে কালো তালিকাভুক্ত করছে দুবাই সরকার,mostly false,bn,চূড়ান্ত উত্তর: মিথ্যা,,False,True
ঘূর্ণিঝড় আমফানের কারণে ছবিতে দেখতে পাওয়া এই রাস্তাটি ক্ষতিগ্রস্ত,mostly false,bn,"বক্তব্যটি যাচাই করার জন্য প্রয়োজনীয় তথ্যের অভাব রয়েছে। ছবিটি দেখতে না পারলে এবং ঘূর্ণিঝড় আমফানের প্রভাব সম্পর্কে নির্দিষ্ট তথ্য না থাকলে সঠিকভাবে মন্তব্য করা সম্ভব নয়। সুতরাং, এই পরিস্থিতিতে সঠিকভাবে নির্ধারণ করা সম্ভব নয়।

চূড়ান্ত উত্তর: অর্ধসত্য",,False,True
কিছু মুসলিম মানুষ বলছেনসিএএ-এনআরসি ভুল নয়।,mostly false,bn,"বক্তব্যটি হলো: ""কিছু মুসলিম মানুষ বলছেন সিএএ-এনআরসি ভুল নয়।""

এই বক্তব্যটি নির্দিষ্ট কিছু মুসলিম মানুষের মতামতকে উল্লেখ করছে, যা একটি ব্যক্তিগত এবং ভিন্নমত হতে পারে। এটি একটি সাধারণীকৃত বক্তব্য নয় এবং এটি নির্দিষ্ট কিছু মানুষের মতামতকে প্রতিফলিত করে। তাই, এটি সম্পূর্ণভাবে মিথ্যা বা সম্পূর্ণভাবে সত্য বলা যাবে না, কারণ এটি নির্ভর করে সেই নির্দিষ্ট কিছু মানুষের মতামতের উপর।

চূড়ান্ত উত্তর: অর্ধসত্য",,False,True
ब्रायलर मुर्गी में पाया गया कोरोना वायरस,mostly false,hi,अंतिम उत्तर: असत्य,,False,True
कांग्रेस विधायक अनिल उपाध्याय ने रेस्टोरेंट में पुलिसकर्मी से की मारपीट,false,hi,"इस कथन की सत्यता की पुष्टि करने के लिए मुझे विश्वसनीय स्रोतों से जानकारी की आवश्यकता होगी। हालांकि, मेरे पास वर्तमान में इंटरनेट तक पहुंच नहीं है, इसलिए मैं इस कथन की सत्यता की पुष्टि नहीं कर सकता।

अंतिम उत्तर: सत्यापन की आवश्यकता",,False,True
वीडियो में एक विशाल झरने का पानी शिवलिंग पर गिरता हुआ दिख रहा है. वीडियो को नेपाल स्थित पशुपति नाथ मंदिर का बताया गया है.,false,hi,अंतिम उत्तर: असत्य,,False,True
ইউ গভের বিচারে বিশ্বের সবথেকে সেরা ব্যক্তি নির্বাচিত হয়েছেন।,mostly false,bn,চূড়ান্ত উত্তর: মিথ্যা,,False,True
ਸੋਸ਼ਲ ਮੀਡੀਆ ਤੇ ਇਕ ਵੀਡੀਓ ਵਾਇਰਲ ਹੋ ਰਹੀ ਹੈ ਜਿਸ ਵਿੱਚ ਦਾਅਵਾ ਕੀਤਾ ਜਾ ਰਿਹਾ ਹੈ ਕਿ ਇੱਕ ਮ੍ਰਿਤਕ ਸ਼ਖਸ ਅੰਤਿਮ ਸੰਸਕਾਰ ਤੋਂ ਪਹਿਲਾਂ ਜਿਉਂਦਾ ਹੋ ਗਿਆ।,half true,pa,ਅੰਤਿਮ ਜਵਾਬ: ਜਿਆਦਾਤਰ ਝੂਠ,,False,True
मध्य प्रदेश में हिंदू लड़की को चर्च में प्रेयर मीट में हिस्सा लेने पर जिंदा जलाया.,mostly false,hi,"इस कथन की सत्यता की पुष्टि करने के लिए विश्वसनीय स्रोतों से जानकारी प्राप्त करना आवश्यक है। यदि इस घटना की पुष्टि किसी विश्वसनीय समाचार स्रोत या आधिकारिक रिपोर्ट से नहीं होती है, तो इसे असत्य माना जाएगा। 

अंतिम उत्तर: असत्य",,False,True
"ব্যাঙ্গালোরের মসজিদ প্রধানমন্ত্রী নরেন্দ্র মোদীর নামে নামকরণ করা হলো,",mostly false,bn,চূড়ান্ত উত্তর: মিথ্যা,,False,True
आईएएस की परीक्षा पास करने वाली 24 वर्षीय मुस्लिम लड़की की तस्वीर.,mostly false,hi,"इस कथन का मूल्यांकन करने के लिए हमें यह देखना होगा कि क्या कोई 24 वर्षीय मुस्लिम लड़की ने वास्तव में आईएएस की परीक्षा पास की है और उसकी तस्वीर उपलब्ध है या नहीं। 

आईएएस (भारतीय प्रशासनिक सेवा) की परीक्षा पास करने वाले उम्मीदवारों में विभिन्न धर्मों, जातियों और आयु वर्ग के लोग शामिल होते हैं। यह संभव है कि किसी 24 वर्षीय मुस्लिम लड़की ने आईएएस की परीक्षा पास की हो और उसकी तस्वीर भी उपलब्ध हो। 

हालांकि, बिना किसी विशिष्ट जानकारी या संदर्भ के, यह कहना मुश्किल है कि यह कथन किसी विशेष व्यक्ति के बारे में है या नहीं। 

इसलिए, सामान्य रूप से यह कथन संभव है, लेकिन विशिष्टता की कमी के कारण इसे पूरी तरह सत्यापित नहीं किया जा सकता।

अंतिम उत्तर: अधिकांशतः सत्य",,False,True
ਦਾਅਵਾ ਕੀਤਾ ਜਾ ਰਿਹਾ ਹੈ ਕਿ ਤਸਵੀਰ ਵਿੱਚ ਦਿਖਾਈ ਦੇ ਰਹੀ ਕੁੜੀ ਨੂੰ ਵਰ ਦੀ ਲੋੜ ਹੈ ਜੋ ਕਨਾਡਾ ਜਾਣ ਦਾ ਖਰਚਾ ਚੁੱਕ ਸਕੇ।,false,pa,ਅੰਤਿਮ ਜਵਾਬ: «ਝੂਠ»,,False,True
अमेरिका की एक महिला ने एक साथ 17 हमशक्ल लड़कों को जन्म दिया है.,false,hi,अंतिम उत्तर: असत्य,,False,True
